P122144 rev 3: EBOM
, , , , , , , , , , , , , , , , , , ,
Level,부품 번호,개정,수량,Unit Of Measure,부품 명,상태,Ref Des,공정,쪽보드,="F/N",RoHS 결과,SAP반제품코드,현재고(A등급),현재고(B등급),부품 상태,이동평균가,구매업체명,부품그룹,
1,P122144,3,,,"K PCB ASS'Y,MAIN,HDMS-0808HA,시판",배포,,,,,NG,1119420,,,,="0.0",,K PCB ASS'Y,
2,110495,="0",1.0,EA (개별),"WAFER,B5P-VH(LF)(SN),LW(3.96),ROHS",배포,J1,="B'D-IN",MAIN,,OK,1119421,="0",="0",A,1.0,(주)인터엠,="CONNECTOR WAFER/TERMINAL",
2,111359,1,1.0,EA (개별),"CON WAFER,BOX(M),4P,ST,2.5MM",배포,P7,="B'D-IN",MAIN,,OK,1119421,4079,="0",A,="0.15",东莞美全电子有限公司,="CONNECTOR WAFER/TERMINAL",
2,111359,1,1.0,EA (개별),"CON WAFER,BOX(M),4P,ST,2.5MM",배포,P6,="B'D-IN",MAIN,,OK,1119421,4079,="0",A,="0.15",东莞美全电子有限公司,="CONNECTOR WAFER/TERMINAL",
2,111624,="0",1.0,EA (개별),="USB JACK (USB-102)",배포,P8,="B'D-IN",MAIN,,OK,1119421,78,="0",A,95.0,필로닉스 주식회사,JACK,
2,112104,1,1.0,EA (개별),"SW,SLIDE,CTS-2235,HOR,2MM",배포,SW102,="B'D-IN",MAIN,,OK,1119421,862,="0",A,150.0,크리에이티브시스텍,SWITCH(SLIDE),
2,118618,="0",1.0,EA (개별),"DIODE,ZN,200MW,BM,3.3V,2P,2.5X1.25,TA",배포,D1,="Auto-SMD",MAIN,,OK,1119422,2583,="0",A,19.0,주식회사 티엘에스 일렉트로닉스,ZENER,
2,118662,="0",1.0,EA (개별),"TR,SW,MF N,3.9A,20V,SI2312DS,SOT-23,TA",배포,Q3,="Auto-SMD",MAIN,,OK,1119422,1266,="0",A,132.0,파코전자(주),FET,
2,118662,="0",1.0,EA (개별),"TR,SW,MF N,3.9A,20V,SI2312DS,SOT-23,TA",배포,Q7,="Auto-SMD",MAIN,,OK,1119422,1266,="0",A,132.0,파코전자(주),FET,
2,118662,="0",1.0,EA (개별),"TR,SW,MF N,3.9A,20V,SI2312DS,SOT-23,TA",배포,Q6,="Auto-SMD",MAIN,,OK,1119422,1266,="0",A,132.0,파코전자(주),FET,
2,118662,="0",1.0,EA (개별),"TR,SW,MF N,3.9A,20V,SI2312DS,SOT-23,TA",배포,Q4,="Auto-SMD",MAIN,,OK,1119422,1266,="0",A,132.0,파코전자(주),FET,
2,118662,="0",1.0,EA (개별),"TR,SW,MF N,3.9A,20V,SI2312DS,SOT-23,TA",배포,Q9,="Auto-SMD",MAIN,,OK,1119422,1266,="0",A,132.0,파코전자(주),FET,
2,118662,="0",1.0,EA (개별),"TR,SW,MF N,3.9A,20V,SI2312DS,SOT-23,TA",배포,Q10,="Auto-SMD",MAIN,,OK,1119422,1266,="0",A,132.0,파코전자(주),FET,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q5,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q2,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q1,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q11,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q13,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q17,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q18,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q16,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q15,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q14,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q12,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118672,2,1.0,EA (개별),"TR,SG,NPN,200MA,40V,MMBT3904,SOT-23,TA",배포,Q8,="Auto-SMD",MAIN,,OK,1119422,16045,="0",A,15.0,원일반도체(주),TR,
2,118688,="0",1.0,EA (개별),"IC,VOLTAGE DETECTOR(2.7V),KIA7027AT,TSM",배포,IC1,="Auto-SMD",MAIN,,OK,1119422,5900,="0",A,129.0,주식회사 티엘에스 일렉트로닉스,IC,
2,118707,="0",1.0,EA (개별),"IC,OP AMP,NJM2068M,SOP8",배포,U34,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.68",(주)인터엠,IC,
2,118707,="0",1.0,EA (개별),"IC,OP AMP,NJM2068M,SOP8",배포,U35,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.68",(주)인터엠,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U40,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U45,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U46,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U48,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U49,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U41,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U42,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U43,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U44,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U47,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U37,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U39,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118865,="0",1.0,EA (개별),"IC,MUX,MM74HC4052M,SOIC16",배포,U38,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.0",,IC,
2,118888,="0",1.0,EA (개별),"IC,EEPROM,24LC02,SOIC8",배포,U24,="Auto-SMD",MAIN,,OK,1119422,3762,="0",A,189.0,이엠쎄미콘,IC,
2,118888,="0",1.0,EA (개별),"IC,EEPROM,24LC02,SOIC8",배포,U18,="Auto-SMD",MAIN,,OK,1119422,3762,="0",A,189.0,이엠쎄미콘,IC,
2,118888,="0",1.0,EA (개별),"IC,EEPROM,24LC02,SOIC8",배포,U30,="Auto-SMD",MAIN,,OK,1119422,3762,="0",A,189.0,이엠쎄미콘,IC,
2,118888,="0",1.0,EA (개별),"IC,EEPROM,24LC02,SOIC8",배포,U12,="Auto-SMD",MAIN,,OK,1119422,3762,="0",A,189.0,이엠쎄미콘,IC,
2,119171,="0",1.0,EA (개별),"DIODE,SW,200MA,100V,MMBD4148,SOT-23,TA",배포,U65,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.1",慧星国际贸易有限公司,DIODE,
2,119171,="0",1.0,EA (개별),"DIODE,SW,200MA,100V,MMBD4148,SOT-23,TA",배포,U70,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.1",慧星国际贸易有限公司,DIODE,
2,119171,="0",1.0,EA (개별),"DIODE,SW,200MA,100V,MMBD4148,SOT-23,TA",배포,U60,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.1",慧星国际贸易有限公司,DIODE,
2,119171,="0",1.0,EA (개별),"DIODE,SW,200MA,100V,MMBD4148,SOT-23,TA",배포,U55,="Auto-SMD",MAIN,,OK,1119422,="0",="0",A,="0.1",慧星国际贸易有限公司,DIODE,
2,119190,="0",1.0,EA (개별),"DIODE,SW,0.2A,200V,BAS21,SOT-23",배포,D11,="Auto-SMD",MAIN,,OK,1119422,9826,="0",A,29.0,원일반도체(주),DIODE,
2,119190,="0",1.0,EA (개별),"DIODE,SW,0.2A,200V,BAS21,SOT-23",배포,D12,="Auto-SMD",MAIN,,OK,1119422,9826,="0",A,29.0,원일반도체(주),DIODE,
2,119190,="0",1.0,EA (개별),"DIODE,SW,0.2A,200V,BAS21,SOT-23",배포,D13,="Auto-SMD",MAIN,,OK,1119422,9826,="0",A,29.0,원일반도체(주),DIODE,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R609,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R295,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R296,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R298,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R299,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R307,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R308,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R300,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R301,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R302,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R345,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R346,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R347,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R348,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R350,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R351,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R352,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R353,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R354,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R349,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R331,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R328,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R329,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R176,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R177,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R178,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R179,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R388,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R389,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R390,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
